dimensoes,pilar,tema,subtema,id,ordem_ces,nova_ordem,ordem_floripa_em_nr,orgao_responsavel,indicador,faixa_1,faixa_2,faixa_3,ano,valor
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,COBERTURA DE ÁGUA,1,1,1,7.1.2001,CASAN/FNR,Porcentagem de pessoas com serviço de abastecimento de água potável em relação à população total do município,> 90%–100%,75%–90%,< 75%,2014,82
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO USO DA ÁGUA,2,2,2,7.1.2005,CASAN/FNR,Quantidade total do consumo de água em litros por dia dividida pelo total da população. Inclui uso não doméstico.,120–200,80–120 ou 200–250,< 80 ou > 250,2014,250
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,3,3,3,N/A,CASAN,Média anual de horas/dia em que há o fornecimento contínuo de água.,> 20 h/dia,12–20 h/dia,< 12 h/dia,2014,"16,32"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,4,4,4,7.1.2004,CASAN/FNR,Qualidade da água: Porcentagem do número total de testes conformes em relação ao número total de testes de qualidade de água tratada realizados.,> 97%,90%–97%,< 90%,2014,95
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,5,5,5,7.1.2006,CASAN/FNR,Água não contabilizada = Índice de perdas na distribuição de água.,0%–30%,30%–45%,> 45%,2014,"44,67"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,6,6,6,N/A,SDE/SEMA,Número remanescente de anos de saldo hídrico positivo (volume de água disponível dividido pelo consumo anual real (faturado + perdido).,> 10,5–10,< 5,2014,2
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,SANEAMENTO E DRENAGEM,COBERTURA DE SANEAMENTO,7,7,7,N/A,CASAN,Porcentagem de moradias com ligação ao sistema de esgoto,> 75%,75%–60%,< 60%,2014,45
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,SANEAMENTO E DRENAGEM,TRATAMENTO DE ÁGUA RESIDUÁRIAS,8,8,8,N/A,CASAN,Porcentagem de águas residuais ou efluente (águas de esgoto) tratadas: total de m³ de águas residuais que entram anualmente nas estações de tratamento dividido pelo total de m³ de água faturadas.,> 60%,40%–60%,< 40%,2014,51
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,COBERTURA COLETA DE RESÍDUOS SÓLIDOS,10,10,10,N/A,COMCAP,Porcentagem das moradias com coleta regular de resíduos sólidos.,90%–100%,80%–90%,< 80%,2014,100
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,VOLUME DE RESIDUOS SÓLIDOS,11,L 5,11,N/A,COMCAP,"Toneladas totais de resíduos sólidos recolhidos (lixo convencional, coleta seletiva, lixo hospitalar, lixo pesado).",Sem valor de referência,Não Informado,Não Informado,2014,"216109,48"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,DISPOSIÇÃO FINAL DOS RESÍDUOS SÓLIDOS,13,11,13,7.3.2005,COMCAP/FNR,Porcentagem de resíduos sólidos municipais depositados em aterros sanitários,<35%,36%- 50%,> 50%,2014,"93,21"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,DISPOSIÇÃO FINAL DOS RESÍDUOS SÓLIDOS,14,12,14,N/A,COMCAP,Vida remanescente útil das instalações de aterro sanitário,> 8,5–8,< 5,2014,10
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,TRATAMENTO DOS                                                                    RESÍDUOS SÓLIDOS,15,14,15,N/A,COMCAP,Porcentagem de resíduos sólidos municipais compostados pela Prefeitura,> 20%,5%–20%,< 5%,2014,1
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,TRATAMENTO DOS                                                                    RESÍDUOS SÓLIDOS,16,15,16,7.3.2004,COMCAP/FNR,Porcentagem de resíduos sólidos separados e classificados para reciclagem,> 25%,15%–25%,< 15%,2014,5
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,TRATAMENTO DOS                                                                    RESÍDUOS SÓLIDOS,17,16,17,7.3.2006,COMCAP/FNR,Porcentagem de resíduos sólidos tratados em usinas de geração de energia a partir de resíduos em relação ao total de resíduos sólidos produzidos.,> 20 %,10%- 19%,< 10%,2014,0
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,COBERTURA ENERGÉTICA,18,17,18,N/A,CELESC,Porcentagem de domicílios(residenciais) com ligação autorizada à energia elétrica,90%–100%,70%–90%,< 70%,2014,"92,7"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,COBERTURA ENERGÉTICA,20,19,21,7.4.2007,CELESC /FNR,"Média de interrupção do fornecimento de energia elétrica por domicílio/ano, expresso em h/domicílio/ano",< 7h,7–10h,> 10h,2014,"6,54"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,EFICIÊNCIA ENERGÉTICA,21,21,22,N/A,CELESC,Consumo anual de eletricidade por cliente residencial em Kw/h,1500–3500 kWh/por domicílio/ano,"900–1500 kWh/por domicílio/ano
3500–5000 kWh/por domicílio/ano","< 900 kWh/por domicílio/ano
> 5000 kWh/por domicílio/ano",2014,"2,842"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,ENERGIA ALTERNATIVA E RENOVÁVEL,23,,25,7.4.2004,CELESC /FNR,Energia proveniente de fontes renováveis (porcentagem),> 50%,20%–50%,< 20%,2014,"84,5"
AMBIENTAL,MITIGAÇÃO DOS GASES DE EFEITO ESTUFA E OUTRAS FORMAS DE CONTAMINAÇÃO,QUALIDADE DO AR,CONTROLE DA QUALIDADE DO AR E CONCENTRAÇÃO DE CONTAMINANTES NO AR,25,27,27,6.4.2002,FLORAM/FNR,Concentração de Material Particulado (MP) 10,< 50 MP 10 em média em 24 horas em μg/m3,50–150 MP 10 em média em 24 horas em μg/m3,> 150 MP 10 em média em 24 horas em μg/m3,2014,23
